cs	argument být být mnoho	0	1		cs_pdt-ud-train.conllu/ln94206-51-p2s6
cs	být být ještě muset ten	0	1		cs_pdt-ud-train.conllu/mf920902-132-p4s2
cs	být být ještě ten	0	19		cs_pdt-ud-dev.conllu/cmpr9410-049-p80s4, cs_pdt-ud-dev.conllu/lnd94104-064-p1s17, cs_pdt-ud-test.conllu/ln94202-136-p7s1, cs_pdt-ud-test.conllu/ln94211-70-p3s6, cs_pdt-ud-train.conllu/lnd91303-088-p5s13, cs_pdt-ud-train.conllu/ln94203-104-p4s6, cs_pdt-ud-train.conllu/ln94204-157-p6s2, cs_pdt-ud-train.conllu/ln94210-126-p5s1, cs_pdt-ud-train.conllu/ln95041-034-p2s5, cs_pdt-ud-train.conllu/mf920902-132-p4s2, cs_cac-ud-train.conllu/n30w-s130, cs_cac-ud-train.conllu/n38w-s7, cs_cac-ud-train.conllu/n51w-s63, cs_cac-ud-train.conllu/n51w-s243, cs_cac-ud-train.conllu/n52w-s144, cs_cac-ud-train.conllu/s08w-s27, cs_cac-ud-train.conllu/s22w-s13, cs_cac-ud-train.conllu/s36w-s54, cs_cac-ud-train.conllu/s48w-s117
cs	být být muset ten	0	14		cs_pdt-ud-test.conllu/ln94207-73-p9s8, cs_pdt-ud-train.conllu/lnd94103-102-p1s22, cs_pdt-ud-train.conllu/lnd94104-099-p1s28, cs_pdt-ud-train.conllu/ln94200-61-p3s2, cs_pdt-ud-train.conllu/ln94207-128-p5s2, cs_pdt-ud-train.conllu/ln94211-92-p14s1, cs_pdt-ud-train.conllu/ln95042-023-p11s19, cs_pdt-ud-train.conllu/ln95044-044-p9s5, cs_pdt-ud-train.conllu/ln95044-123-p2s7, cs_pdt-ud-train.conllu/mf920902-132-p4s2, cs_cac-ud-train.conllu/n36w-s76, cs_cac-ud-train.conllu/n42w-s110, cs_cac-ud-train.conllu/s03w-s4, cs_cac-ud-train.conllu/s46w-s209
cs	být být mít ten	1	44	cs_cac-ud-train.conllu/n07w-s160	cs_pdt-ud-dev.conllu/cmpr9416-002-p32s1, cs_pdt-ud-test.conllu/lnd91301-005-p4s4, cs_pdt-ud-test.conllu/ln94207-73-p9s8, cs_pdt-ud-test.conllu/ln95047-010-p7s1, cs_pdt-ud-test.conllu/mf930713-054-p2s1B, cs_pdt-ud-train.conllu/cmpr9407-006-p4s2, cs_pdt-ud-train.conllu/cmpr9415-017-p4s2, cs_pdt-ud-train.conllu/cmpr9415-028-p4s2, cs_pdt-ud-train.conllu/lnd94103-081-p1s17, cs_pdt-ud-train.conllu/lnd94104-071-p1s12, cs_pdt-ud-train.conllu/ln94202-102-p6s2, cs_pdt-ud-train.conllu/ln94202-76-p8s1, cs_pdt-ud-train.conllu/ln94203-122-p3s6, cs_pdt-ud-train.conllu/ln94203-3-p5s1, cs_pdt-ud-train.conllu/ln94205-59-p3s5, cs_pdt-ud-train.conllu/ln94207-79-p35s2, cs_pdt-ud-train.conllu/ln94208-107-p3s1, cs_pdt-ud-train.conllu/ln94209-105-p3s1, cs_pdt-ud-train.conllu/ln94209-54-p6s10, cs_pdt-ud-train.conllu/ln94211-92-p14s1, cs_pdt-ud-train.conllu/ln95041-034-p2s5, cs_pdt-ud-train.conllu/ln95042-079-p2s11, cs_pdt-ud-train.conllu/ln95048-068-p4s2, cs_pdt-ud-train.conllu/ln95049-023-p4s10, cs_pdt-ud-train.conllu/mf920922-015-p2s6, cs_pdt-ud-train.conllu/mf920923-025-p6s1, cs_pdt-ud-train.conllu/mf920924-055-p20s2, cs_pdt-ud-train.conllu/mf930709-061-p2s11, cs_pdt-ud-train.conllu/vesm9211-012-p17s2, cs_pdt-ud-train.conllu/vesm9301-046-p24s2, cs_pdt-ud-train.conllu/vesm9303-050-p4s1, cs_cac-ud-train.conllu/n04w-s164, cs_cac-ud-train.conllu/n12w-s210, cs_cac-ud-train.conllu/n26w-s38, cs_cac-ud-train.conllu/n30w-s118, cs_cac-ud-train.conllu/n43w-s72, cs_cac-ud-train.conllu/n43w-s76, cs_cac-ud-train.conllu/s07w-s227, cs_cac-ud-train.conllu/s16w-s112, cs_cac-ud-train.conllu/s36w-s42, cs_cac-ud-train.conllu/s48w-s100, cs_cac-ud-train.conllu/s55w-s82, cs_cac-ud-train.conllu/s61w-s99, cs_cac-ud-train.conllu/s63w-s74
cs	být ještě muset ten	0	1		cs_pdt-ud-train.conllu/mf920902-132-p4s2
cs	co být být špatný	0	1		cs_pdt-ud-train.conllu/vesm9211-007-p6s3
cs	cíl proto moci být	0	1		cs_cac-ud-train.conllu/s21w-s25
cs	dlouho být ten jak	0	6		cs_pdt-ud-dev.conllu/ln95047-039-p2s3, cs_pdt-ud-dev.conllu/mf930713-043-p8s2, cs_pdt-ud-test.conllu/lnd91303-052-p22s4, cs_pdt-ud-train.conllu/lnd91301-083-p2s7, cs_pdt-ud-train.conllu/ln95040-004-p6s2, cs_pdt-ud-train.conllu/ln95042-055-p2s4
cs	dodat být třeba ten	1	0	cs_pdt-ud-train.conllu/ln94205-94-p13s1	
